k,pk_mean,pk_sem
0,0.0,0.0
1,6.666666666666667e-05,4.632055558531009e-05
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.2833666666666667,0.002265423932483658
6,0.1779,0.0022505937913788678
7,0.11826666666666666,0.001610977666557049
8,0.08273333333333334,0.0013173757729680114
9,0.058899999999999994,0.0010627983016005707
10,0.048366666666666676,0.0009831725954736643
11,0.031966666666666685,0.001276204261867066
12,0.028933333333333353,0.0009455684094015821
13,0.021933333333333343,0.000849520937796585
14,0.01743333333333334,0.0009206236433637291
15,0.013600000000000004,0.0006371632534086165
16,0.013233333333333342,0.0005943862541791221
17,0.009700000000000005,0.0005635478745382257
18,0.008600000000000003,0.0005087735986788658
19,0.008133333333333336,0.0005827665555242065
20,0.0066333333333333366,0.0005539478653699215
21,0.006033333333333335,0.00045607857090116505
22,0.005233333333333335,0.0004333333333333333
23,0.004600000000000002,0.0004461843338465784
24,0.003766666666666668,0.000344691544045395
25,0.003033333333333334,0.00028960271373170224
26,0.002966666666666668,0.000308810596764958
27,0.0033000000000000017,0.0003495481483944337
28,0.0025333333333333345,0.00019018039429835804
29,0.001733333333333334,0.00027929851921420747
30,0.002200000000000001,0.00020566684364455208
31,0.002033333333333334,0.00022734516435321265
32,0.0017333333333333337,0.0003029864127044724
33,0.0013666666666666669,0.00022734516435321268
34,0.0010666666666666672,0.0001789710907967993
35,0.001266666666666667,0.00020862623088806304
36,0.0017333333333333337,0.00022454722429524114
37,0.0012000000000000003,0.00022692345157247014
38,0.0016000000000000005,0.00022793425145972634
39,0.0008000000000000001,0.00019416783828762004
40,0.0009333333333333335,0.000172429118092866
41,0.0007333333333333336,0.00014330526322306852
42,0.0009000000000000003,0.0001466091841378405
43,0.0009000000000000003,0.00013854747308720785
44,0.0008000000000000003,0.00013042811910348766
45,0.0006333333333333334,0.00013116045567967356
46,0.0006333333333333334,0.0001476508255429847
47,0.0005666666666666667,0.00015671434833218074
48,0.0008000000000000003,0.00018194353045893682
49,0.0005333333333333335,0.00010431311544403149
50,0.0005666666666666667,0.00014128583022990945
51,0.00040000000000000013,0.00010283342182227608
52,0.0005333333333333334,0.0001495843538850339
53,0.00030000000000000003,0.00010880753861644942
54,0.0005666666666666667,0.00014128583022990942
55,0.0003666666666666667,0.00012208281844464016
56,0.0003666666666666668,0.00012208281844464016
57,0.00043333333333333337,0.00010376070318239086
58,0.00023333333333333333,0.00010376070318239088
59,0.00043333333333333337,0.00010376070318239084
60,0.0005666666666666667,0.00014128583022990945
61,0.00030000000000000003,8.50962943396763e-05
62,0.0004333333333333333,0.00017735822139759412
63,0.0005666666666666667,0.0001491996528094735
64,0.00040000000000000013,0.00010283342182227608
65,0.0002,7.427813527082073e-05
66,0.0003666666666666668,8.948554539839965e-05
67,0.00030000000000000003,9.767410038007761e-05
68,0.0005666666666666669,0.00010376070318239084
69,0.0003333333333333334,0.00012066228480009848
70,0.0002666666666666667,0.0001064941133048319
71,0.00023333333333333333,7.854032324531729e-05
72,3.3333333333333335e-05,3.3333333333333315e-05
73,0.00023333333333333333,9.201865544655372e-05
74,0.0003666666666666668,8.948554539839965e-05
75,0.00016666666666666666,6.920456654478333e-05
76,0.00016666666666666666,8.419098886082756e-05
77,0.0002666666666666667,8.21175682735253e-05
78,0.0001,5.5708601453115545e-05
79,0.0002,8.840866447369842e-05
80,0.0003666666666666668,8.948554539839965e-05
81,0.0001,7.35003323160835e-05
82,0.00013333333333333334,7.926868804398472e-05
83,0.0001,5.5708601453115545e-05
84,0.0001,5.5708601453115545e-05
85,0.00013333333333333334,6.31242768631999e-05
86,0.0001,5.5708601453115545e-05
87,0.00013333333333333334,6.312427686319992e-05
88,0.0,0.0
89,0.0001,5.5708601453115545e-05
90,0.0001,5.5708601453115545e-05
91,0.0001,5.5708601453115545e-05
92,0.00016666666666666666,6.920456654478335e-05
93,0.0001,5.5708601453115545e-05
94,0.0002,7.427813527082075e-05
95,0.0001,5.5708601453115545e-05
96,0.0001,5.5708601453115545e-05
97,0.0001,5.570860145311553e-05
98,0.0001,5.5708601453115545e-05
99,0.00016666666666666666,6.920456654478333e-05
100,6.666666666666667e-05,4.632055558531009e-05
101,3.3333333333333335e-05,3.333333333333332e-05
102,0.00016666666666666666,6.920456654478333e-05
103,6.666666666666667e-05,4.63205555853101e-05
104,0.0001,5.5708601453115545e-05
105,6.666666666666667e-05,4.632055558531009e-05
106,6.666666666666667e-05,4.632055558531009e-05
107,0.0,0.0
108,6.666666666666667e-05,4.632055558531009e-05
109,0.0,0.0
110,3.3333333333333335e-05,3.333333333333332e-05
111,0.0001,5.5708601453115545e-05
112,0.0001,5.570860145311555e-05
113,0.0001,5.5708601453115545e-05
114,0.0,0.0
115,0.0,0.0
116,3.3333333333333335e-05,3.333333333333333e-05
117,6.666666666666667e-05,4.632055558531009e-05
118,0.0001,7.350033231608352e-05
119,0.00013333333333333334,7.926868804398469e-05
120,0.0,0.0
121,6.666666666666667e-05,4.632055558531009e-05
122,6.666666666666667e-05,4.632055558531009e-05
123,0.0,0.0
124,0.0,0.0
125,3.3333333333333335e-05,3.3333333333333315e-05
126,0.0,0.0
127,0.0,0.0
128,3.3333333333333335e-05,3.333333333333332e-05
129,0.0,0.0
130,3.3333333333333335e-05,3.3333333333333315e-05
131,6.666666666666667e-05,4.632055558531009e-05
132,0.0,0.0
133,6.666666666666667e-05,4.6320555585310095e-05
134,0.0,0.0
135,3.3333333333333335e-05,3.333333333333332e-05
