k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.8000000000000004,6.184897200291535e-17
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,3.3333333333333335e-05,3.3333333333333315e-05
19,0.00016666666666666666,6.920456654478333e-05
20,0.00013333333333333334,7.92686880439847e-05
21,0.0002666666666666667,8.21175682735253e-05
22,0.0005333333333333335,0.00013333333333333326
23,0.0012666666666666672,0.0001913853507727837
24,0.0014666666666666671,0.00019018039429835804
25,0.003333333333333335,0.00032282279874100157
26,0.004533333333333335,0.0003206793554972718
27,0.00616666666666667,0.00037164849705600137
28,0.008100000000000003,0.0006312731161125403
29,0.009233333333333338,0.0005646346256973606
30,0.01183333333333334,0.0005489453489816472
31,0.015266666666666673,0.0007029221982966803
32,0.01563333333333334,0.0006599953558410854
33,0.01613333333333334,0.000726720445125899
34,0.015900000000000008,0.0007824952719184394
35,0.014900000000000007,0.0006684172418447942
36,0.014533333333333339,0.000766741625520953
37,0.013266666666666675,0.0006555393205340802
38,0.01203333333333334,0.0006092832294096454
39,0.009833333333333336,0.0006234559471267097
40,0.007633333333333337,0.0006351456224251439
41,0.004833333333333336,0.00038382028042149526
42,0.004000000000000002,0.00037139067635410367
43,0.003000000000000001,0.0003587974807379617
44,0.002466666666666668,0.00024790308327513397
45,0.0014000000000000006,0.00018320267026111984
46,0.0007333333333333336,0.0001262485537263998
47,0.0005333333333333336,0.00011480451484306914
48,0.0004666666666666668,9.264111117062015e-05
49,0.00016666666666666666,6.920456654478333e-05
50,0.0001,5.5708601453115545e-05
51,3.3333333333333335e-05,3.333333333333333e-05
52,0.0,0.0
53,0.0,0.0
54,3.3333333333333335e-05,3.333333333333332e-05
55,0.0,0.0
56,3.3333333333333335e-05,3.3333333333333315e-05
