k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.003033333333333335,0.00022223180055985835
5,0.014900000000000007,0.0007261138886637171
6,0.047433333333333334,0.0012763843810242293
7,0.09299999999999999,0.001130557791331443
8,0.12963333333333335,0.0018928075196684448
9,0.15906666666666663,0.0018079856914634033
10,0.15813333333333332,0.0016398299136172235
11,0.13383333333333333,0.0015640232039121024
12,0.10430000000000005,0.001001320966604075
13,0.06896666666666668,0.0017403152927006258
14,0.042933333333333344,0.0010415873533023462
15,0.024233333333333346,0.0010110690067440834
16,0.012000000000000007,0.0006102571532587294
17,0.004966666666666669,0.00040253031108352093
18,0.002033333333333334,0.00031616718018123697
19,0.001066666666666667,0.00018528222234124035
20,0.00030000000000000003,9.767410038007758e-05
21,0.0001,5.5708601453115545e-05
22,6.666666666666667e-05,4.6320555585310075e-05
