k,pk_mean,pk_sem
0,0.0,0.0
1,0.00030000000000000003,8.509629433967632e-05
2,0.002133333333333334,0.0002866105264461371
3,0.007700000000000003,0.0003987047996216992
4,0.01986666666666668,0.0009355474558490307
5,0.037300000000000014,0.0010217744313231502
6,0.0616,0.0011562921318822824
7,0.09036666666666668,0.0019939467783241537
8,0.11393333333333334,0.0017092939547528943
9,0.1237,0.0020634476227794165
10,0.1252,0.0020874006274096846
11,0.11476666666666667,0.0017666666666666668
12,0.09476666666666671,0.0011553805496715736
13,0.07106666666666667,0.0015770868920684427
14,0.05316666666666667,0.001235568028272997
15,0.03556666666666668,0.000954942777768522
16,0.021966666666666676,0.0008461995272078231
17,0.012933333333333337,0.0006449330952261698
18,0.006766666666666671,0.0004386062914815553
19,0.004066666666666668,0.00030675660849969897
20,0.0017000000000000003,0.0002451834874715988
21,0.0006666666666666668,0.0001298392758293603
22,0.00030000000000000003,0.00011890303206597704
23,0.0001,5.5708601453115545e-05
24,6.666666666666667e-05,4.632055558531009e-05
