network,param,value
WS,k_ws,10.0
WS,p_ws,0.05
BA,m_ba,5.0
ER,p_er,0.01001001001001001
RR,d_rr,10.0
Stars,l_fixed,4.0
Stars,num_stars_s,200.0
Stars,backbone_degree_b,42.0
Stars,k_achieved_formula,10.0
Stars,b_ideal,42.0
Stars,k_mean_realizations,10.0
Stars,k_sem_realizations,0.0
Cave_random,k_mean_realizations,10.0
Cave_random,k_sem_realizations,0.0
Cave_bottleneck,k_mean_realizations,10.0
Cave_bottleneck,k_sem_realizations,0.0
Cave_random,N,1000.0
Cave_random,clique_size,5.0
Cave_random,n_cliques,200.0
Cave_random,E_cliques,2000.0
Cave_random,E_backbone,200.0
Cave_random,E_base,2200.0
Cave_random,z_min,4.4
Cave_random,z_max,999.0
Cave_random,E_target_real,5000.0
Cave_random,E_target_int,5000.0
Cave_random,E_add_needed,2800.0
Cave_random,feasible,1.0
Cave_bottleneck,N,1000.0
Cave_bottleneck,clique_size,5.0
Cave_bottleneck,n_cliques,200.0
Cave_bottleneck,E_cliques,2000.0
Cave_bottleneck,E_backbone,200.0
Cave_bottleneck,E_base,2200.0
Cave_bottleneck,E_target_real,5000.0
Cave_bottleneck,E_target_int,5000.0
Cave_bottleneck,E_add_needed,2800.0
Cave_bottleneck,E_extra_max,19700.0
