network,dynamic,steady_start,steady_end,steady_mean_variance,steady_sem_network,steady_sem_runs,steady_sem_total
WS,base model q = 0.5,400,500,0.07120181042829192,0.0001821700642977289,0.00023065540986040708,0.00029708976315353993
WS,Choosing neighbor probability based on vertex degree q = 0.5,400,500,0.07014571526018719,0.000212750782705564,0.0002194452168153187,0.0003067543267917122
WS,imitation strength based on vertex degree,400,500,0.07098912828268228,0.00018750114549691808,0.0002237602519845463,0.00029445951492623333
WS,both choosing neighbor probability and strength based on vertex degree,400,500,0.07006026423691104,0.00019362340398595997,0.00021628415830844992,0.000292737933539953
BA,base model q = 0.5,400,500,0.04895234141844761,2.5610388106470617e-05,9.127810781778629e-05,9.778006730879e-05
BA,Choosing neighbor probability based on vertex degree q = 0.5,400,500,0.04858421806795985,2.2746380130261096e-05,0.00013615255662123717,0.00014145362508448904
BA,imitation strength based on vertex degree,400,500,0.07042893515881689,0.0002315353947347167,0.000295962939144037,0.00038007610397704743
BA,both choosing neighbor probability and strength based on vertex degree,400,500,0.06739367112135623,0.00020821450035617847,0.0004460730570008698,0.0005137571817309014
ER,base model q = 0.5,400,500,0.04879229990148111,2.4342935606717228e-05,8.593581062640524e-05,9.20514309839315e-05
ER,Choosing neighbor probability based on vertex degree q = 0.5,400,500,0.04858842095103028,2.0858244529067238e-05,8.719972664859082e-05,9.255302795850675e-05
ER,imitation strength based on vertex degree,400,500,0.051108588031585425,2.836687709812557e-05,9.464423359291629e-05,0.00010219092330559815
ER,both choosing neighbor probability and strength based on vertex degree,400,500,0.05117369318847549,3.1326597321044296e-05,9.844883949134312e-05,0.00010722859507002614
RR,base model q = 0.5,400,500,0.04861727968124006,1.931865570405999e-05,8.458292814621415e-05,8.98278034291045e-05
RR,Choosing neighbor probability based on vertex degree q = 0.5,400,500,0.04864655962520399,1.7602921014434415e-05,8.562839366895086e-05,9.012220105035703e-05
RR,imitation strength based on vertex degree,400,500,0.04862196507982804,2.0998577606731516e-05,8.545148457908932e-05,9.071602641757912e-05
RR,both choosing neighbor probability and strength based on vertex degree,400,500,0.0486363261222343,1.5804213203724e-05,8.509741208826117e-05,8.888853544232745e-05
Stars,base model q = 0.5,400,500,0.059162312031445737,1.3304061316425863e-05,0.00019718863339073035,0.0001997833174708987
Stars,Choosing neighbor probability based on vertex degree q = 0.5,400,500,0.05715589146096079,3.646124266947033e-05,0.00018894342017434,0.00019763928383415865
Stars,imitation strength based on vertex degree,400,500,0.07083595598342747,5.997571955457978e-05,0.0002584915233235058,0.0002728888439912848
Stars,both choosing neighbor probability and strength based on vertex degree,400,500,0.0664193739892318,2.8560717966768223e-05,0.000234652739320621,0.0002407216332486957
Cave_bottleneck,base model q = 0.5,400,500,0.06699153441843098,2.188785677261208e-05,0.00014410366418287005,0.00014864562542854672
Cave_bottleneck,Choosing neighbor probability based on vertex degree q = 0.5,400,500,0.05446030859773263,2.3646086586220558e-05,0.00011639928821547194,0.00012199507420510257
Cave_bottleneck,imitation strength based on vertex degree,400,500,0.06713685660973297,3.817960410859991e-05,0.00014582847618877016,0.00015545133363822233
Cave_bottleneck,both choosing neighbor probability and strength based on vertex degree,400,500,0.06201104088295051,3.734801331700732e-05,0.00015390599589760177,0.00016306107849197867
Cave_random,base model q = 0.5,400,500,0.04980670086352394,1.7791916685642615e-05,8.96149323183445e-05,9.338701597233009e-05
Cave_random,Choosing neighbor probability based on vertex degree q = 0.5,400,500,0.04941635787178802,1.876895182426508e-05,8.888361076147964e-05,9.33014491411109e-05
Cave_random,imitation strength based on vertex degree,400,500,0.05117095394610287,2.7710942209265433e-05,9.406334012782723e-05,0.00010159720752180644
Cave_random,both choosing neighbor probability and strength based on vertex degree,400,500,0.05110769829514265,2.4862701830766568e-05,9.653241037524446e-05,0.00010285002162951726
Complete,base model q = 0.5,400,500,0.04486533660519438,4.936930066033966e-05,0.00018203561856288544,0.00020016996625782016
Complete,Choosing neighbor probability based on vertex degree q = 0.5,400,500,0.04490543431161919,6.31555359134927e-05,0.00018259438643256607,0.0002075652140676854
Complete,imitation strength based on vertex degree,400,500,0.04487186831403554,5.832337921524614e-05,0.00018175501613290637,0.00020456839627585593
Complete,both choosing neighbor probability and strength based on vertex degree,400,500,0.04490245050050596,4.300622747241496e-05,0.00018194502277679202,0.00019700256832203968
