k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0013333333333333333,0.0007926868804398466
6,0.01866666666666667,0.002129882266096638
7,0.060666666666666695,0.004150428127295635
8,0.13300000000000003,0.006967081877303975
9,0.1976666666666667,0.008559236905149165
10,0.21600000000000003,0.007813928030406208
11,0.1686666666666667,0.007155631707550327
12,0.11533333333333333,0.005113276236399888
13,0.05066666666666668,0.0036493845594613964
14,0.023000000000000007,0.0027186034278101593
15,0.009000000000000001,0.0015425013273341409
16,0.003999999999999999,0.0011346172578623505
17,0.0013333333333333333,0.0006312427686319993
18,0.0006666666666666666,0.00046320555585310075
