p,realization,N,E,k_mean,C,L,lambda2
0.0,0,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,1,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,2,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,3,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,4,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,5,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,6,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,7,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,8,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,9,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,10,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,11,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,12,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,13,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,14,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,15,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,16,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,17,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,18,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,19,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,20,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,21,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,22,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,23,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,24,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,25,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,26,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,27,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,28,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.0,29,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
