p,plateau,vmin,t_star,delta_rel,C_mean,C_sem,L_mean,L_sem,lambda2_mean,lambda2_sem,inv_lambda2_mean
0.0,0.03694437982512519,0.027443111357749427,7,0.257177641426102,0.6666666666666667,4.1232648001943564e-17,5.454545454545457,4.947917760233228e-16,0.21586328420955792,1.0308162000485891e-17,4.632561779377034
0.01,0.03333546162061375,0.026736894249601142,8,0.19794438265502323,0.6494592592592593,0.0015015642834964333,4.045468013468013,0.08371487893922971,0.26463443073558396,0.00723922196369474,3.7787977823610364
0.03,0.02988873320294692,0.026369054207581,9,0.11775939018448907,0.6164509416509417,0.002383243729897896,3.3479932659932663,0.0393695521013192,0.3737146384172903,0.011707918796557904,2.6758384531980752
0.05,0.026966115135011286,0.02555712002637332,11,0.0522505782380424,0.5737584878084879,0.0032746554915240463,2.9854276094276098,0.019007486052951134,0.5574401579260594,0.01806675803913184,1.7939145319570664
0.1,0.024370751906896256,0.02391700662263651,489,0.01861843598396932,0.5032073315573317,0.003867755699262822,2.7045454545454555,0.008287322536916348,0.9162117672561614,0.019531493546251825,1.0914507275919023
0.2,0.02256391931047738,0.022175160104013623,261,0.017229241122274395,0.3703803492803493,0.0043290467339368805,2.473569023569024,0.005352767116340238,1.6172413867086308,0.03412957415655435,0.618336884164939
0.3,0.021736371366285888,0.021361988301349673,213,0.017223806983575025,0.2666252673252673,0.003932995857508316,2.36243771043771,0.004078295945328517,2.341679597828481,0.0436168071430353,0.42704390512149226
0.4,0.021335571720901222,0.021014034201875705,339,0.015070489941946368,0.19825653056094233,0.0026524813051732126,2.304835016835017,0.0018505303328552388,2.911424834899789,0.02628505648377752,0.3434744349271239
0.5,0.021134697826568846,0.020798667873326508,146,0.015899444411261347,0.15047822526057822,0.002194832753509279,2.265124579124579,0.0017283016234771102,3.438103730830141,0.03396266050936937,0.29085800728838007
0.6,0.021016503872874612,0.020679862634862763,482,0.01601794665983154,0.12082222439869499,0.0015672830181824398,2.241851851851852,0.0012541228424208684,3.7184977156234216,0.032596815858237975,0.26892580726847265
0.8,0.020906650762058426,0.02064708638010391,162,0.012415397612398859,0.09528160792023023,0.0015095337883232298,2.224888888888889,0.0011742367126822166,3.8857888333984762,0.029837908584413896,0.25734800393808555
1.0,0.020922191485790945,0.020629562220929543,318,0.01398654940425999,0.08998104050518912,0.0010474160745395779,2.2206060606060603,0.0009866070745462368,3.897358564302468,0.027597685598593772,0.2565840385227618
