k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0005,0.0005000000000000002
7,0.009999999999999998,0.002176428750330035
8,0.022500000000000006,0.002603135760861059
9,0.06900000000000003,0.0046960229534093395
10,0.14199999999999996,0.006307889796454162
11,0.179,0.007742568593241691
12,0.18800000000000006,0.009049571086084979
13,0.168,0.010351709749449222
14,0.10450000000000001,0.006508092128872695
15,0.06200000000000002,0.0043286074094635975
16,0.03350000000000001,0.0036472772829807395
17,0.0125,0.002392422247540412
18,0.006500000000000001,0.0016662280124501818
19,0.0015,0.0008191780219091251
20,0.0005,0.0005000000000000002
