m,t,model,variance_mean,sem_total,sem_network,sem_runs
120,0,model1_fixed_q,0.08323500072560197,7.762032157432318e-05,7.633458792663177e-05,7.762032157432318e-05
120,0,model3_dynamic_q,0.08337593196072253,8.216200873185967e-05,8.216200873185967e-05,8.164691697081899e-05
120,1,model1_fixed_q,0.06409625286048977,9.67612262504771e-05,8.905318687367642e-05,9.67612262504771e-05
120,1,model3_dynamic_q,0.06751112558932805,0.00010902686596698189,9.091130958760493e-05,0.00010902686596698189
120,2,model1_fixed_q,0.05452330795309752,9.468362803271584e-05,9.468362803271584e-05,9.295280301653975e-05
120,2,model3_dynamic_q,0.05901580140510669,0.00010611868446333645,9.897887775408437e-05,0.00010611868446333645
120,3,model1_fixed_q,0.049763624583549874,8.338619160324395e-05,6.706365750100708e-05,8.338619160324395e-05
120,3,model3_dynamic_q,0.054500069612322295,0.00011443347352023395,0.00011443347352023394,0.00010246387197131075
120,4,model1_fixed_q,0.047326556898177656,8.162919290551016e-05,6.674596532858403e-05,8.162919290551016e-05
120,4,model3_dynamic_q,0.052149296278174544,0.00010264266893201766,9.898102007853835e-05,0.00010264266893201766
120,5,model1_fixed_q,0.046130348755669986,7.773952800999113e-05,7.773952800999111e-05,7.677899904394878e-05
120,5,model3_dynamic_q,0.0507843258833702,0.00010304104812757466,9.273095555399154e-05,0.00010304104812757466
120,6,model1_fixed_q,0.04549609415309501,7.687647878677672e-05,6.90480129846462e-05,7.687647878677672e-05
120,6,model3_dynamic_q,0.05013664542251182,9.594035354326519e-05,7.628594552946738e-05,9.594035354326519e-05
120,7,model1_fixed_q,0.045220543598012905,8.026886550220758e-05,8.026886550220758e-05,7.321649641301947e-05
120,7,model3_dynamic_q,0.049815843228076175,9.725603339366296e-05,9.280756812668421e-05,9.725603339366296e-05
120,8,model1_fixed_q,0.04514053574372411,7.28331755776128e-05,7.205854053828062e-05,7.28331755776128e-05
120,8,model3_dynamic_q,0.04942620977192035,9.549761310246864e-05,9.165377367151844e-05,9.549761310246864e-05
120,9,model1_fixed_q,0.0450914813519737,7.488121437973142e-05,6.409619735822928e-05,7.488121437973142e-05
120,9,model3_dynamic_q,0.049383574800131745,9.569456307974637e-05,8.058211662271068e-05,9.569456307974637e-05
120,10,model1_fixed_q,0.045137436737156825,7.790351043138045e-05,7.57555861765598e-05,7.790351043138045e-05
120,10,model3_dynamic_q,0.049447785023103215,9.214342484711826e-05,7.814107845373123e-05,9.214342484711826e-05
120,11,model1_fixed_q,0.04510745290810398,7.872161158057631e-05,7.872161158057631e-05,7.727531061185955e-05
120,11,model3_dynamic_q,0.04941278733229191,8.997059285567423e-05,7.019493302352794e-05,8.997059285567423e-05
120,12,model1_fixed_q,0.04516402548084491,7.771437627162683e-05,6.1972064062632e-05,7.771437627162683e-05
120,12,model3_dynamic_q,0.049338285303605435,9.052807483702495e-05,8.057733803754773e-05,9.052807483702495e-05
120,13,model1_fixed_q,0.04503946328208889,7.4966829576534e-05,6.50417817506151e-05,7.4966829576534e-05
120,13,model3_dynamic_q,0.049187269611356346,9.438837215521335e-05,9.438837215521335e-05,9.132943826638439e-05
120,14,model1_fixed_q,0.045026152850195435,8.000296134937407e-05,6.408531271699175e-05,8.000296134937407e-05
120,14,model3_dynamic_q,0.04933609066243024,9.63471023781032e-05,9.634710237810319e-05,8.807871803787758e-05
120,15,model1_fixed_q,0.04483360790068946,7.70575644070376e-05,7.32943764927029e-05,7.70575644070376e-05
120,15,model3_dynamic_q,0.049296524760699914,0.00010499605178958223,0.00010499605178958223,9.253973784546923e-05
120,16,model1_fixed_q,0.04495276288196583,7.641549624747984e-05,7.2173226539404e-05,7.641549624747984e-05
120,16,model3_dynamic_q,0.049320373786444466,9.0469529014669e-05,8.602789906248502e-05,9.0469529014669e-05
