m,realization,N,E,k_mean,C,L,lambda2
80,0,1000,73600,147.2,0.23352743101662624,1.8526566566566567,75.90115105935715
80,1,1000,73600,147.2,0.23625190743225644,1.8526566566566567,75.67653919455627
80,2,1000,73600,147.2,0.23448984988359656,1.8526566566566567,76.04071025914823
80,3,1000,73600,147.2,0.23735740513237436,1.8526546546546547,75.97133487841262
80,4,1000,73600,147.2,0.23608603426015318,1.8526546546546547,75.76398008054778
80,5,1000,73600,147.2,0.23555903489745653,1.8526546546546547,75.89502805988008
80,6,1000,73600,147.2,0.23484467683895946,1.8526546546546547,75.77684765398327
80,7,1000,73600,147.2,0.23291185493757535,1.8526586586586586,75.56426069289883
80,8,1000,73600,147.2,0.2356732717802469,1.8526546546546547,75.93721475476303
80,9,1000,73600,147.2,0.23529868857892652,1.8526546546546547,75.8613704959786
80,10,1000,73600,147.2,0.23418055561253864,1.8526546546546547,75.38117585489329
80,11,1000,73600,147.2,0.23674108993711074,1.8526546546546547,75.9435569226377
80,12,1000,73600,147.2,0.2364005919722471,1.8526546546546547,75.91014375571515
80,13,1000,73600,147.2,0.23618461959898135,1.8526526526526526,75.91164466351586
80,14,1000,73600,147.2,0.2342425272934422,1.8526546546546547,75.73876053163202
80,15,1000,73600,147.2,0.23537897538777877,1.8526526526526526,75.84668365071542
80,16,1000,73600,147.2,0.2345259909561069,1.8526566566566567,75.81268970120475
80,17,1000,73600,147.2,0.23464423639313328,1.8526526526526526,75.84087284059379
80,18,1000,73600,147.2,0.23699549686292565,1.8526586586586586,76.08526849910062
80,19,1000,73600,147.2,0.23546104478824054,1.8526546546546547,75.74786241217882
80,20,1000,73600,147.2,0.23567400719675466,1.8526626626626628,75.90108335940256
80,21,1000,73600,147.2,0.23551480038774017,1.8526566566566567,75.73121337051563
80,22,1000,73600,147.2,0.2354505868719863,1.8526546546546547,75.74315972999152
80,23,1000,73600,147.2,0.23722166307452697,1.8526566566566567,75.90948192984676
80,24,1000,73600,147.2,0.2339190320374405,1.8526586586586586,75.67687756024941
80,25,1000,73600,147.2,0.2352281144902575,1.8526586586586586,75.86580199348857
80,26,1000,73600,147.2,0.23373605149967505,1.8526586586586586,75.79921668952544
80,27,1000,73600,147.2,0.236037622185143,1.8526586586586586,75.63066579340574
80,28,1000,73600,147.2,0.23565625715889474,1.8526546546546547,57.29094143117896
80,29,1000,73600,147.2,0.23548018914942193,1.8526566566566567,75.86419315656778
