m,realization,N,E,k_mean,C,L,lambda2
5,0,1000,4975,9.95,0.03668215956452954,3.001009009009009,2.9157437512922226
5,1,1000,4975,9.95,0.0418679078594988,2.9756936936936937,2.8860988774392964
5,2,1000,4975,9.95,0.041857025540304106,2.9744884884884883,2.8700264113752003
5,3,1000,4975,9.95,0.045385578223315855,2.986854854854855,2.8490238420758662
5,4,1000,4975,9.95,0.04068168553722383,2.9802862862862862,2.8658821501325003
5,5,1000,4975,9.95,0.03803675745768101,2.9876476476476475,2.9210028780194386
5,6,1000,4975,9.95,0.03798504493298126,2.9973253253253254,2.92601193021311
5,7,1000,4975,9.95,0.042124077293414525,2.962966966966967,0.9916033941499729
5,8,1000,4975,9.95,0.03390667986631017,3.0017457457457457,2.8837255828980464
5,9,1000,4975,9.95,0.03923678645357565,2.96994994994995,2.8431416705246426
5,10,1000,4975,9.95,0.04113367481591158,2.9712532532532534,2.9393618330362674
5,11,1000,4975,9.95,0.04514485582555093,2.962068068068068,2.9184862149977446
5,12,1000,4975,9.95,0.0415084433567628,2.9833993993993992,2.914451719026234
5,13,1000,4975,9.95,0.044585980296941316,2.9593513513513514,2.941266859475797
5,14,1000,4975,9.95,0.03790970541786418,2.9864384384384386,2.8398393499467094
5,15,1000,4975,9.95,0.036272117176064135,3.0015015015015014,2.842084644727656
5,16,1000,4975,9.95,0.044315304975661544,2.9698258258258257,2.9040992475504575
5,17,1000,4975,9.95,0.042163180582407235,2.967651651651652,2.873752868944865
5,18,1000,4975,9.95,0.042734081474483834,2.969029029029029,2.862596806658189
5,19,1000,4975,9.95,0.04168747041897269,2.978912912912913,2.9081810664859815
5,20,1000,4975,9.95,0.03739864384736918,2.994132132132132,2.887221623475453
5,21,1000,4975,9.95,0.03804658798368497,2.981015015015015,2.8749421509656137
5,22,1000,4975,9.95,0.04520940675740566,2.969107107107107,2.906380546992968
5,23,1000,4975,9.95,0.04114550224179247,2.9776456456456457,2.8655000579767598
5,24,1000,4975,9.95,0.04003170686683598,2.975203203203203,2.9130229242399084
5,25,1000,4975,9.95,0.03710641064410216,2.994844844844845,2.8816371221150243
5,26,1000,4975,9.95,0.039417727936030905,2.98606006006006,2.9242124671703795
5,27,1000,4975,9.95,0.04171994164671107,2.9747707707707707,2.86855678738249
5,28,1000,4975,9.95,0.0395423356055987,2.9801661661661663,2.8780361512501442
5,29,1000,4975,9.95,0.04738277850771656,2.961041041041041,0.9909571593009053
10,0,1000,9900,19.8,0.056732219968179586,2.5582702702702704,7.338505274326551
10,1,1000,9900,19.8,0.06430929962870592,2.5504684684684684,6.531895135743277
10,2,1000,9900,19.8,0.06106103316548083,2.5567867867867866,7.420516215155702
10,3,1000,9900,19.8,0.06117073580477373,2.5557237237237236,7.407265205411295
10,4,1000,9900,19.8,0.06050058877719294,2.556966966966967,7.308557333233881
10,5,1000,9900,19.8,0.06228684428639736,2.553801801801802,7.4360474082872905
10,6,1000,9900,19.8,0.06318733108634486,2.551847847847848,7.28792678361495
10,7,1000,9900,19.8,0.06047490848976555,2.5577357357357355,7.363883562263695
10,8,1000,9900,19.8,0.060701571747849806,2.5574674674674673,7.438616569514829
10,9,1000,9900,19.8,0.05654187333932355,2.563947947947948,7.3011780505661275
10,10,1000,9900,19.8,0.05958018102425546,2.5617077077077077,4.906435462709927
10,11,1000,9900,19.8,0.06343215612063342,2.5534194194194195,7.15021139845155
10,12,1000,9900,19.8,0.0582933690056702,2.562802802802803,7.351876957133648
10,13,1000,9900,19.8,0.06364478447621998,2.5515815815815817,7.382714611167452
10,14,1000,9900,19.8,0.05985561086836255,2.557061061061061,7.218092245467965
10,15,1000,9900,19.8,0.06150781224925934,2.546724724724725,7.327993874571009
10,16,1000,9900,19.8,0.06300454701915437,2.549241241241241,7.359198601917404
10,17,1000,9900,19.8,0.05683876475922359,2.5643443443443443,7.314033440352981
10,18,1000,9900,19.8,0.06457173739679854,2.5466046046046045,7.425007786627704
10,19,1000,9900,19.8,0.058490930000120185,2.5644424424424423,7.365113601913659
10,20,1000,9900,19.8,0.06080919382767278,2.5564004004004004,7.449912813645084
10,21,1000,9900,19.8,0.05809405634397311,2.562124124124124,7.432619079205218
10,22,1000,9900,19.8,0.057993659506356404,2.561279279279279,7.415473049931432
10,23,1000,9900,19.8,0.061206229141144014,2.558202202202202,4.588632788105144
10,24,1000,9900,19.8,0.06024033715863722,2.5513433433433432,7.357361637972155
10,25,1000,9900,19.8,0.0643411325972953,2.5484744744744745,7.430175732178766
10,26,1000,9900,19.8,0.05809064429004968,2.562024024024024,7.484342682109427
10,27,1000,9900,19.8,0.06214801719843798,2.552850850850851,7.220208528541368
10,28,1000,9900,19.8,0.05794149298522956,2.5608828828828827,7.317889441212604
10,29,1000,9900,19.8,0.06151989187417091,2.5561901901901902,7.4083432279362444
15,0,1000,14775,29.55,0.07896504676295299,2.326910910910911,12.068769723465994
15,1,1000,14775,29.55,0.07952088237601873,2.3274134134134132,11.014571772750921
15,2,1000,14775,29.55,0.07773978797283895,2.331109109109109,12.138637557313428
15,3,1000,14775,29.55,0.08278619974282145,2.3186066066066067,12.108011405335912
15,4,1000,14775,29.55,0.07739959866931874,2.3295455455455456,11.918718919417294
15,5,1000,14775,29.55,0.08006893102053464,2.3242602602602602,12.016532231149089
15,6,1000,14775,29.55,0.07804328991728546,2.329345345345345,12.075820185736745
15,7,1000,14775,29.55,0.07616773123997726,2.3364944944944943,12.06431471649561
15,8,1000,14775,29.55,0.08087094277754191,2.326996996996997,12.044484086087023
15,9,1000,14775,29.55,0.07913311085237226,2.3337177177177177,11.912277248091861
15,10,1000,14775,29.55,0.08085430084141271,2.321805805805806,12.030776495146135
15,11,1000,14775,29.55,0.07940181319413446,2.3296656656656656,11.712532038380893
15,12,1000,14775,29.55,0.0819570413242548,2.321975975975976,12.072728499911525
15,13,1000,14775,29.55,0.08393864876449131,2.320036036036036,12.001685008933478
15,14,1000,14775,29.55,0.07977891203517871,2.3287947947947947,12.133399163080735
15,15,1000,14775,29.55,0.07501402513774029,2.338028028028028,12.067563392545509
