m,t,model,variance_mean,sem_total,sem_network,sem_runs
5,0,model1_fixed_q,0.08319586206220174,9.85341169838915e-05,9.85341169838915e-05,7.922970039005959e-05
5,0,model3_dynamic_q,0.08330953648040257,8.177795594675525e-05,7.994703937897951e-05,8.177795594675525e-05
5,1,model1_fixed_q,0.06401916502034531,0.0001037301250349896,0.00010373012503498959,9.661990546920065e-05
5,1,model3_dynamic_q,0.07314644580599695,0.00012844528094843363,9.20591283026807e-05,0.00012844528094843363
5,2,model1_fixed_q,0.05674618643871205,9.940874355370153e-05,9.204108764875027e-05,9.940874355370153e-05
5,2,model3_dynamic_q,0.06994641474455192,0.00016911245760853255,0.00016911245760853255,0.0001675652790336906
5,3,model1_fixed_q,0.05326494094342195,0.00010397949384403994,0.00010397949384403995,9.743850948909166e-05
5,3,model3_dynamic_q,0.06904036524289384,0.00024563691910688395,0.00024563691910688395,0.0001916850231183395
5,4,model1_fixed_q,0.05124198121328836,0.00011216546738108524,0.00011216546738108523,9.57993608641624e-05
5,4,model3_dynamic_q,0.06919208001973068,0.00028840822955174576,0.00028840822955174576,0.0002253249496023398
5,5,model1_fixed_q,0.05034479390180489,9.85553895806012e-05,9.85553895806012e-05,9.499360159820294e-05
5,5,model3_dynamic_q,0.06892131522512625,0.00025217839395321,0.00025217839395321,0.00024119842381457009
5,6,model1_fixed_q,0.04984148848145177,9.48105399836226e-05,8.840832042706948e-05,9.48105399836226e-05
5,6,model3_dynamic_q,0.06923928301974293,0.000292143872957372,0.000292143872957372,0.0002577556126438067
5,7,model1_fixed_q,0.04962676957490291,9.379101275327249e-05,9.373952415542251e-05,9.379101275327249e-05
5,7,model3_dynamic_q,0.06947659139301829,0.0002993289469224999,0.0002993289469224999,0.00026873579935796923
5,8,model1_fixed_q,0.049405805204612574,9.831490730921963e-05,9.831490730921963e-05,9.243652233735935e-05
5,8,model3_dynamic_q,0.06977951934608202,0.00033689776497064787,0.00033689776497064787,0.0002790247882802004
5,9,model1_fixed_q,0.049175459689626715,9.485726234065573e-05,9.485726234065574e-05,9.354858940098186e-05
5,9,model3_dynamic_q,0.0698896012340343,0.00033408726780875136,0.00033408726780875136,0.00027868606089021534
5,10,model1_fixed_q,0.04908078820342072,9.933709539376617e-05,9.933709539376618e-05,9.031092520253978e-05
5,10,model3_dynamic_q,0.07033421077564274,0.0003091798766694776,0.0003091798766694776,0.00028476790646685254
5,11,model1_fixed_q,0.049031782054637874,0.00010086870568258065,0.00010086870568258066,8.761196936707588e-05
5,11,model3_dynamic_q,0.07018399538433956,0.000289254463249478,0.0002804284566315094,0.000289254463249478
5,12,model1_fixed_q,0.04891780556696753,0.00010511718383178428,0.00010511718383178428,9.091940821555819e-05
5,12,model3_dynamic_q,0.07020979855072436,0.00032863479810186087,0.00032863479810186087,0.0002898415646388258
5,13,model1_fixed_q,0.048866748985130076,0.00011351989590073852,0.0001135198959007385,8.857858814960992e-05
5,13,model3_dynamic_q,0.07015930971711622,0.00030003507464470663,0.00030003507464470663,0.0002908021839709303
5,14,model1_fixed_q,0.04889005458006013,0.00012994352587347233,0.00012994352587347233,8.735563859469364e-05
5,14,model3_dynamic_q,0.07002448134126156,0.00030667030768633517,0.0003066703076863351,0.0002896599111779295
5,15,model1_fixed_q,0.04899098411087398,0.00010405730831367508,0.00010405730831367508,8.850557711940471e-05
5,15,model3_dynamic_q,0.07019554261114426,0.00029221589353097666,0.0002880059216757684,0.00029221589353097666
5,16,model1_fixed_q,0.04895784993063643,9.706152892278537e-05,9.706152892278537e-05,9.149789832875675e-05
5,16,model3_dynamic_q,0.07036142200516586,0.0002902876294781352,0.00027968377272816474,0.0002902876294781352
5,17,model1_fixed_q,0.048978275751329264,9.798514026187349e-05,9.79851402618735e-05,8.985419557883435e-05
5,17,model3_dynamic_q,0.07036262193973562,0.00030169683200719096,0.00030169683200719096,0.00028675920370172393
5,18,model1_fixed_q,0.04895412412603735,9.499617883007419e-05,9.49961788300742e-05,9.342089579970462e-05
5,18,model3_dynamic_q,0.07012539811151394,0.00028376280653631176,0.00028376280653631176,0.0002824269027515417
5,19,model1_fixed_q,0.0489734079581412,9.338815571997395e-05,9.338815571997395e-05,9.243590600360254e-05
5,19,model3_dynamic_q,0.07008247225842214,0.00029193744644812075,0.00029193744644812075,0.0002758237549743098
5,20,model1_fixed_q,0.04881944687543758,9.3767126349242e-05,6.85781890563605e-05,9.3767126349242e-05
5,20,model3_dynamic_q,0.07007869905261006,0.00031486683421701807,0.0003148668342170181,0.0002766604198711478
5,21,model1_fixed_q,0.04885234153546313,8.868914209354956e-05,8.184757922093706e-05,8.868914209354956e-05
5,21,model3_dynamic_q,0.07008688582342125,0.0003181725472482341,0.0003181725472482341,0.00027811712853662696
5,22,model1_fixed_q,0.04886610058906398,8.928703911280378e-05,8.928703911280378e-05,8.918596146108716e-05
5,22,model3_dynamic_q,0.07025188092316854,0.00029572556087321267,0.00026325332814895394,0.00029572556087321267
5,23,model1_fixed_q,0.048899865750505686,0.00011157255797322707,0.00011157255797322707,9.245226175963795e-05
5,23,model3_dynamic_q,0.07018784268774181,0.00029733389175480606,0.00027992990030589114,0.00029733389175480606
5,24,model1_fixed_q,0.04890889404986627,9.115683484350569e-05,8.721715945560938e-05,9.115683484350569e-05
5,24,model3_dynamic_q,0.07005435631957108,0.0003342684732519628,0.0003342684732519629,0.0002864930445993591
5,25,model1_fixed_q,0.04895946558391747,8.972719915456688e-05,7.028552779361604e-05,8.972719915456688e-05
5,25,model3_dynamic_q,0.07041920761470764,0.00036471242225505124,0.0003647124222550513,0.0002926829506262606
5,26,model1_fixed_q,0.04897530004678185,9.030383064958467e-05,8.910319758574651e-05,9.030383064958467e-05
5,26,model3_dynamic_q,0.07030859363730992,0.0003936499377359484,0.00039364993773594845,0.00029280514560914213
5,27,model1_fixed_q,0.04886381838920094,8.945428859434586e-05,7.716552775533707e-05,8.945428859434586e-05
5,27,model3_dynamic_q,0.0702122642097635,0.0003828669046928753,0.0003828669046928753,0.0003015968814767539
5,28,model1_fixed_q,0.048911356906696124,9.225543027697291e-05,9.166857063575468e-05,9.225543027697291e-05
5,28,model3_dynamic_q,0.07039721326806435,0.00033333055630055554,0.00033333055630055554,0.0002940134013866839
