k,p,realization,N,E,k_mean,C,L,lambda2
6,0.0,0,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.01,0,100,300,6.0,0.5783809523809523,5.772121212121212,0.08442180714879002
6,0.03,0,100,300,6.0,0.5578571428571428,4.8969696969696965,0.13178454722156785
6,0.05,0,100,300,6.0,0.5337142857142857,4.463232323232323,0.2057171348480545
6,0.1,0,100,300,6.0,0.4492857142857143,3.871111111111111,0.2779644940747864
6,0.2,0,100,300,6.0,0.2845793650793651,3.1173737373737374,0.7029008852633389
6,0.4,0,100,300,6.0,0.14092424242424242,2.8767676767676766,1.0746583351261663
6,0.6,0,100,300,6.0,0.0864134199134199,2.74989898989899,1.4945711517709845
6,0.8,0,100,300,6.0,0.03955988455988456,2.7183838383838386,1.5369397551957553
6,1.0,0,100,300,6.0,0.051954545454545455,2.7246464646464648,1.5406782258069605
8,0.0,0,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.01,0,100,400,8.0,0.6085317460317461,4.733131313131313,0.15864422993011973
8,0.03,0,100,400,8.0,0.6098015873015874,4.052727272727273,0.205920370028787
8,0.05,0,100,400,8.0,0.5358253968253969,3.2505050505050503,0.4598545459058969
8,0.1,0,100,400,8.0,0.4698412698412698,3.0323232323232325,0.6852728826953155
8,0.2,0,100,400,8.0,0.3716616161616162,2.7854545454545456,0.8375398032572483
8,0.4,0,100,400,8.0,0.18593506493506493,2.5202020202020203,1.9920644717041307
8,0.6,0,100,400,8.0,0.11031313131313132,2.4549494949494948,2.2900117625212832
8,0.8,0,100,400,8.0,0.0835185925185925,2.41030303030303,2.6684560935472352
8,1.0,0,100,400,8.0,0.06492279942279942,2.4204040404040406,2.424069606762692
10,0.0,0,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
10,0.01,0,100,500,10.0,0.6564747474747474,3.935151515151515,0.2583228278582295
10,0.03,0,100,500,10.0,0.6047164502164502,3.25010101010101,0.39208692447175425
10,0.05,0,100,500,10.0,0.5449436674436674,2.82989898989899,0.7474907928470474
10,0.1,0,100,500,10.0,0.49219691419691414,2.7129292929292927,0.9040804747768891
10,0.2,0,100,500,10.0,0.3279777444777445,2.4264646464646464,1.933534336747792
10,0.4,0,100,500,10.0,0.1922915417915418,2.3092929292929294,2.8563766067417844
10,0.6,0,100,500,10.0,0.12571550671550671,2.248686868686869,3.4607794209783305
10,0.8,0,100,500,10.0,0.0987997002997003,2.2284848484848485,3.832002116549236
10,1.0,0,100,500,10.0,0.08863722388722389,2.2183838383838386,4.091661076992638
12,0.0,0,100,600,12.0,0.6818181818181818,4.636363636363637,0.35631031243305034
12,0.01,0,100,600,12.0,0.6756596736596737,4.132929292929293,0.35767595603631264
12,0.03,0,100,600,12.0,0.6251862304362305,2.8846464646464645,0.6339019694895918
12,0.05,0,100,600,12.0,0.5788119103119103,2.6426262626262624,0.8889541758483742
12,0.1,0,100,600,12.0,0.5245592185592186,2.503030303030303,1.1010647336031623
12,0.2,0,100,600,12.0,0.35380619380619377,2.2723232323232323,2.618238516049607
12,0.4,0,100,600,12.0,0.18838367188367186,2.134949494949495,4.1883814591221284
12,0.6,0,100,600,12.0,0.13790597964127374,2.0905050505050506,5.004053257080029
12,0.8,0,100,600,12.0,0.1086655109596286,2.0795959595959594,5.461191594489384
12,1.0,0,100,600,12.0,0.11242836085483145,2.0939393939393938,5.182484770774641
