k,p,plateau,vmin,t_star,delta_rel,C_mean,C_sem,L_mean,L_sem,lambda2_mean,lambda2_sem,inv_lambda2_mean
6,0.0,0.049741285285374505,0.02148368410687037,65,0.5680914961562675,0.6,0.0,8.757575757575758,0.0,0.05514263905712882,0.0,18.134786747583497
6,0.01,0.03835315294279405,0.020451802853645163,259,0.46675041595275857,0.5783809523809523,0.0,5.772121212121212,0.0,0.08442180714879002,0.0,11.845280665901175
6,0.03,0.046217635192380355,0.017608917315772653,147,0.6190000366207457,0.5578571428571428,0.0,4.8969696969696965,0.0,0.13178454722156785,0.0,7.588143079618519
6,0.05,0.02928029989682324,0.017494757153838587,279,0.40250758306827733,0.5337142857142857,0.0,4.463232323232323,0.0,0.2057171348480545,0.0,4.861043785869435
6,0.1,0.029653336747214015,0.014506118240272916,163,0.5108099178202672,0.4492857142857143,0.0,3.871111111111111,0.0,0.2779644940747864,0.0,3.5975817822651472
6,0.2,0.02320166884770382,0.011188177726980567,79,0.5177856472127083,0.2845793650793651,0.0,3.1173737373737374,0.0,0.7029008852633389,0.0,1.4226756872348427
6,0.4,0.022263829846625085,0.01326699797905863,399,0.404100818661721,0.14092424242424242,0.0,2.8767676767676766,0.0,1.0746583351261663,0.0,0.9305283058941693
6,0.6,0.021930980578719075,0.012259469159350975,330,0.44099767380000043,0.0864134199134199,0.0,2.74989898989899,0.0,1.4945711517709845,0.0,0.6690882523826684
6,0.8,0.022052145348156006,0.012871510334512353,376,0.41631482419062393,0.03955988455988456,0.0,2.7183838383838386,0.0,1.5369397551957553,0.0,0.6506435900427555
6,1.0,0.022108006470053575,0.012668923631715045,324,0.4269531425696048,0.051954545454545455,0.0,2.7246464646464648,0.0,1.5406782258069605,0.0,0.649064797080669
8,0.0,0.03623023533394733,0.016130797964379908,183,0.5547697160756356,0.6428571428571429,0.0,6.696969696969697,0.0,0.11797631679985265,0.0,8.476277503191632
8,0.01,0.028768309484390926,0.016054730095781514,297,0.4419300131454554,0.6085317460317461,0.0,4.733131313131313,0.0,0.15864422993011973,0.0,6.303412361360285
8,0.03,0.034756249015219016,0.014454542552255612,332,0.584116728306145,0.6098015873015874,0.0,4.052727272727273,0.0,0.205920370028787,0.0,4.856246129803493
8,0.05,0.02634786181988597,0.015658343027128006,25,0.40570725874575825,0.5358253968253969,0.0,3.2505050505050503,0.0,0.4598545459058969,0.0,2.174600662107267
8,0.1,0.024261559447632704,0.014888173479721253,116,0.38634721680374295,0.4698412698412698,0.0,3.0323232323232325,0.0,0.6852728826953155,0.0,1.4592726857464426
8,0.2,0.024521271088646057,0.012530340424209599,122,0.48900118680995086,0.3716616161616162,0.0,2.7854545454545456,0.0,0.8375398032572483,0.0,1.1939731056493472
8,0.4,0.021141111058282272,0.011180320721990827,278,0.47115737242150246,0.18593506493506493,0.0,2.5202020202020203,0.0,1.9920644717041307,0.0,0.501991785007109
8,0.6,0.021961141056461755,0.014368110331064934,206,0.34574846115123326,0.11031313131313132,0.0,2.4549494949494948,0.0,2.2900117625212832,0.0,0.43667897971799435
8,0.8,0.022279682632754105,0.010810798433918007,336,0.5147687419018846,0.0835185925185925,0.0,2.41030303030303,0.0,2.6684560935472352,0.0,0.37474853058971597
8,1.0,0.02138343361075318,0.013375170624490984,391,0.37450781441550374,0.06492279942279942,0.0,2.4204040404040406,0.0,2.424069606762692,0.0,0.41252940807070504
10,0.0,0.03817431562245714,0.016325737667334195,411,0.5723371224570137,0.6666666666666665,0.0,5.454545454545454,0.0,0.21586328420955797,0.0,4.632561779377033
10,0.01,0.03273603680180825,0.015219840398114042,140,0.5350738242916033,0.6564747474747474,0.0,3.935151515151515,0.0,0.2583228278582295,0.0,3.871125166486685
10,0.03,0.03486052337959958,0.014415251534923719,168,0.5864878051899949,0.6047164502164502,0.0,3.25010101010101,0.0,0.39208692447175425,0.0,2.550454854742394
10,0.05,0.02475293319992634,0.013035674745097162,33,0.47336848365364825,0.5449436674436674,0.0,2.82989898989899,0.0,0.7474907928470474,0.0,1.3378091202852065
10,0.1,0.024459650977959106,0.014530061403817067,287,0.4059579420446234,0.49219691419691414,0.0,2.7129292929292927,0.0,0.9040804747768891,0.0,1.1060962247268775
10,0.2,0.021965302566410782,0.014078482908249867,225,0.3590580932958053,0.3279777444777445,0.0,2.4264646464646464,0.0,1.933534336747792,0.0,0.5171876087196888
10,0.4,0.021555232180519336,0.012524198917544103,311,0.41897174604025283,0.1922915417915418,0.0,2.3092929292929294,0.0,2.8563766067417844,0.0,0.35009389085449816
10,0.6,0.022096117779818136,0.010378490561769397,12,0.5303025325449356,0.12571550671550671,0.0,2.248686868686869,0.0,3.4607794209783305,0.0,0.2889522498713048
10,0.8,0.02147941065183678,0.011949754807983506,367,0.4436646795538759,0.0987997002997003,0.0,2.2284848484848485,0.0,3.832002116549236,0.0,0.2609601898916778
10,1.0,0.021093524885477777,0.011788967539518615,338,0.44110964840992767,0.08863722388722389,0.0,2.2183838383838386,0.0,4.091661076992638,0.0,0.24439951921311082
12,0.0,0.03343337806998431,0.014069439393477198,487,0.5791798434478744,0.6818181818181818,0.0,4.636363636363637,0.0,0.35631031243305034,0.0,2.806542401682233
12,0.01,0.030006275512461843,0.014469849225147588,424,0.5177725666373307,0.6756596736596737,0.0,4.132929292929293,0.0,0.35767595603631264,0.0,2.795826734013052
12,0.03,0.0296817833953508,0.014941220186064948,177,0.496619863198474,0.6251862304362305,0.0,2.8846464646464645,0.0,0.6339019694895918,0.0,1.577530987646536
12,0.05,0.02330355253669785,0.013541803914489663,349,0.4188952996259103,0.5788119103119103,0.0,2.6426262626262624,0.0,0.8889541758483742,0.0,1.1249173772603622
12,0.1,0.023331065746438635,0.013082490485236731,192,0.43926734306024123,0.5245592185592186,0.0,2.503030303030303,0.0,1.1010647336031623,0.0,0.9082118148744674
12,0.2,0.02283934787348156,0.012967010537104503,59,0.43225127928629203,0.35380619380619377,0.0,2.2723232323232323,0.0,2.618238516049607,0.0,0.38193617345023173
