deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0003333333333333333,0.0003333333333333335
8,0.005333333333333333,0.0014169201936767792
9,0.02033333333333333,0.002513564732175253
10,0.04166666666666668,0.0027991514861017423
11,0.083,0.004845901218626898
12,0.13033333333333336,0.006092832294096455
13,0.16266666666666668,0.006996441350492493
14,0.1446666666666667,0.007219598698264654
15,0.14733333333333334,0.005712123290898179
16,0.11433333333333337,0.005584941439373025
17,0.06866666666666668,0.0037975592080568424
18,0.04200000000000002,0.003369914218356375
19,0.02133333333333334,0.0020190662080502514
20,0.012000000000000004,0.0017551238617587487
21,0.0033333333333333327,0.0011072730647165327
22,0.002,0.0007427813527082073
23,0.0003333333333333333,0.0003333333333333335
24,0.0,0.0
25,0.0,0.0
26,0.0003333333333333333,0.0003333333333333334
