k,p,realization,N,E,k_mean,C,L,lambda2
8,0.0,0,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,1,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,2,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,3,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,4,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,5,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,6,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,7,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,8,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,9,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,10,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,11,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,12,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,13,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,14,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,15,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,16,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,17,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,18,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,19,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,20,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,21,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,22,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
