k,p,realization,N,E,k_mean,C,L,lambda2
4,0.0,0,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,1,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,2,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,3,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,4,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,5,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,6,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,7,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,8,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,9,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,10,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,11,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,12,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,13,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,14,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,15,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,16,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,17,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,18,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,19,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,20,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,21,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,22,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,23,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,24,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,25,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,26,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,27,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,28,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.0,29,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.01,0,100,200,4.0,0.4896666666666667,11.33090909090909,0.01966551334081909
4,0.01,1,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.01,2,100,200,4.0,0.48,10.066060606060606,0.020001282865245176
4,0.01,3,100,200,4.0,0.49633333333333335,12.604646464646464,0.019711250197162952
4,0.01,4,100,200,4.0,0.494,12.818383838383838,0.019716604520884362
4,0.01,5,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.01,6,100,200,4.0,0.486,10.003838383838383,0.02061836435921402
4,0.01,7,100,200,4.0,0.49266666666666664,9.408282828282829,0.025616124592691275
4,0.01,8,100,200,4.0,0.486,8.723434343434343,0.030062798753334275
4,0.01,9,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.01,10,100,200,4.0,0.486,10.538181818181819,0.019889940905088027
4,0.01,11,100,200,4.0,0.48733333333333334,8.00969696969697,0.03004106826119017
4,0.01,12,100,200,4.0,0.4896666666666667,11.822020202020202,0.019698594847489162
4,0.01,13,100,200,4.0,0.4756666666666666,8.16969696969697,0.043894718801204075
4,0.01,14,100,200,4.0,0.4896666666666667,10.180202020202021,0.01957557230586726
4,0.01,15,100,200,4.0,0.484,8.57010101010101,0.023896460134719535
4,0.01,16,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.01,17,100,200,4.0,0.4836666666666667,10.52989898989899,0.019734483009640084
4,0.01,18,100,200,4.0,0.486,10.36888888888889,0.020477606632356288
4,0.01,19,100,200,4.0,0.49266666666666664,8.778181818181817,0.03279646513080556
4,0.01,20,100,200,4.0,0.49266666666666664,8.834545454545454,0.026213895880734778
4,0.01,21,100,200,4.0,0.48666666666666664,9.431717171717171,0.02257507821111743
4,0.01,22,100,200,4.0,0.4896666666666667,11.120606060606061,0.01965238535245551
4,0.01,23,100,200,4.0,0.47633333333333333,8.591515151515152,0.024471435438157108
4,0.01,24,100,200,4.0,0.475,8.297777777777778,0.03424987939236527
4,0.01,25,100,200,4.0,0.48233333333333334,8.14080808080808,0.031520334673089616
4,0.01,26,100,200,4.0,0.486,8.546666666666667,0.03606397380648993
4,0.01,27,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.01,28,100,200,4.0,0.4943333333333333,9.564444444444444,0.020477645030620276
4,0.01,29,100,200,4.0,0.4896666666666667,10.708484848484849,0.019621691345149905
4,0.03,0,100,200,4.0,0.48766666666666664,8.867676767676768,0.027418026459175432
4,0.03,1,100,200,4.0,0.48233333333333334,8.67010101010101,0.025559599942260564
4,0.03,2,100,200,4.0,0.483,8.171111111111111,0.032354852261783626
4,0.03,3,100,200,4.0,0.47200000000000003,8.14,0.029273477822574445
4,0.03,4,100,200,4.0,0.46299999999999997,7.524646464646465,0.026136169121910302
4,0.03,5,100,200,4.0,0.47200000000000003,7.863838383838384,0.033841276071358166
4,0.03,6,100,200,4.0,0.44799999999999995,7.352323232323232,0.027733388665829715
4,0.03,7,100,200,4.0,0.4656666666666666,8.167676767676769,0.03136867440198766
4,0.03,8,100,200,4.0,0.4756666666666666,7.899393939393939,0.049572124686862035
4,0.03,9,100,200,4.0,0.4786666666666667,8.342828282828282,0.028420895572009452
4,0.03,10,100,200,4.0,0.4646666666666667,8.083030303030304,0.033760612169325147
4,0.03,11,100,200,4.0,0.4703333333333333,7.039393939393939,0.05328493969835007
4,0.03,12,100,200,4.0,0.445,7.306666666666667,0.05145936535867711
4,0.03,13,100,200,4.0,0.4453333333333333,7.264444444444444,0.03665835656428282
4,0.03,14,100,200,4.0,0.484,7.943030303030303,0.04634837919899734
4,0.03,15,100,200,4.0,0.46166666666666667,7.238181818181818,0.03907637993060248
4,0.03,16,100,200,4.0,0.48733333333333334,9.408484848484848,0.025464430393824435
4,0.03,17,100,200,4.0,0.461,6.878787878787879,0.03503444283229984
4,0.03,18,100,200,4.0,0.469,8.077373737373737,0.031562599711651596
4,0.03,19,100,200,4.0,0.45833333333333337,7.636969696969697,0.03710747378316815
4,0.03,20,100,200,4.0,0.4736666666666667,7.970909090909091,0.024604841486633562
4,0.03,21,100,200,4.0,0.4606666666666666,6.900808080808081,0.04030210341612884
4,0.03,22,100,200,4.0,0.5,12.878787878787879,0.019717140514500877
4,0.03,23,100,200,4.0,0.45333333333333337,7.941818181818181,0.030946981928117616
4,0.03,24,100,200,4.0,0.44766666666666666,7.913939393939394,0.03190165348689962
4,0.03,25,100,200,4.0,0.44566666666666666,6.232929292929293,0.07338794820839761
4,0.03,26,100,200,4.0,0.45466666666666666,7.177171717171717,0.03855561260031228
4,0.03,27,100,200,4.0,0.466,6.9806060606060605,0.03731274991860423
4,0.03,28,100,200,4.0,0.45866666666666667,7.044848484848485,0.04948706250719294
4,0.03,29,100,200,4.0,0.46166666666666667,7.550303030303031,0.038791765589594324
4,0.05,0,100,200,4.0,0.44523809523809527,5.905454545454545,0.07066003004825375
4,0.05,1,100,200,4.0,0.45233333333333337,7.451313131313131,0.040345342090784074
4,0.05,2,100,200,4.0,0.44266666666666665,6.071515151515151,0.08113137896072851
4,0.05,3,100,200,4.0,0.436,6.434343434343434,0.04308455711622504
4,0.05,4,100,200,4.0,0.38699999999999996,5.189090909090909,0.06468925878374227
4,0.05,5,100,200,4.0,0.46166666666666667,8.182020202020203,0.024642694115008787
4,0.05,6,100,200,4.0,0.40399999999999997,5.892323232323232,0.06619527546282583
4,0.05,7,100,200,4.0,0.441,6.356565656565657,0.054208026513220486
4,0.05,8,100,200,4.0,0.4193333333333333,5.164444444444444,0.11077590764424515
4,0.05,9,100,200,4.0,0.4683333333333334,7.264848484848485,0.04742013046453873
4,0.05,10,100,200,4.0,0.42700000000000005,5.972525252525252,0.0904353976517683
4,0.05,11,100,200,4.0,0.41100000000000003,5.4492929292929295,0.10494683960472793
4,0.05,12,100,200,4.0,0.418,5.761414141414141,0.05810852835326613
4,0.05,13,100,200,4.0,0.46166666666666667,7.142020202020202,0.041605035378861246
4,0.05,14,100,200,4.0,0.44299999999999995,6.582626262626262,0.05526683790109056
4,0.05,15,100,200,4.0,0.43733333333333335,5.893535353535354,0.08806904934040664
4,0.05,16,100,200,4.0,0.42333333333333334,5.795151515151515,0.0706483915835168
4,0.05,17,100,200,4.0,0.42,5.5323232323232325,0.10282280334171139
4,0.05,18,100,200,4.0,0.38166666666666665,5.1842424242424245,0.09154862542135764
4,0.05,19,100,200,4.0,0.43666666666666665,6.149090909090909,0.05595073568277371
4,0.05,20,100,200,4.0,0.43066666666666664,5.993333333333333,0.0760750756991406
4,0.05,21,100,200,4.0,0.4403333333333333,6.605252525252525,0.04382328023859975
4,0.05,22,100,200,4.0,0.3803333333333333,5.190707070707071,0.09607262973670683
4,0.05,23,100,200,4.0,0.4713333333333333,6.853737373737374,0.043089342086672894
4,0.05,24,100,200,4.0,0.44066666666666665,6.199393939393939,0.06767703331934671
4,0.05,25,100,200,4.0,0.45333333333333337,6.751313131313132,0.03994974484448987
4,0.05,26,100,200,4.0,0.41633333333333333,5.5064646464646465,0.12326365764692969
4,0.05,27,100,200,4.0,0.41600000000000004,5.485656565656566,0.06761224828206255
4,0.05,28,100,200,4.0,0.43566666666666665,6.422020202020202,0.05336270390969428
4,0.05,29,100,200,4.0,0.4076666666666667,5.472929292929293,0.081081040534253
4,0.1,0,100,200,4.0,0.348,4.682020202020202,0.15300714979643065
4,0.1,1,100,200,4.0,0.34076190476190477,4.586666666666667,0.17853067898096117
4,0.1,2,100,200,4.0,0.375,4.926060606060606,0.12610434975277085
4,0.1,3,100,200,4.0,0.3306666666666666,4.779393939393939,0.13816143541161124
4,0.1,4,100,200,4.0,0.3596666666666667,4.896161616161616,0.17075399797905383
4,0.1,5,100,200,4.0,0.36199999999999993,4.831717171717171,0.12988508358227258
4,0.1,6,100,200,4.0,0.39799999999999996,5.424040404040404,0.0821246967239419
4,0.1,7,100,200,4.0,0.42133333333333334,5.492525252525253,0.08407137218364791
4,0.1,8,100,200,4.0,0.3686666666666667,4.878181818181818,0.15162588503211966
4,0.1,9,100,200,4.0,0.37200000000000005,4.9787878787878785,0.10551988509055993
4,0.1,10,100,200,4.0,0.37333333333333335,4.867070707070707,0.12959517640160678
4,0.1,11,100,200,4.0,0.38366666666666666,5.095353535353535,0.12040942529341479
4,0.1,12,100,200,4.0,0.331,4.668484848484849,0.12429406516972279
4,0.1,13,100,200,4.0,0.3526666666666667,4.955959595959596,0.12887606560002243
4,0.1,14,100,200,4.0,0.424,5.982020202020202,0.045762390036525165
4,0.1,15,100,200,4.0,0.3536666666666667,4.736161616161616,0.12145921031010383
4,0.1,16,100,200,4.0,0.3903333333333333,4.891919191919192,0.15254282674319797
