network,dynamic,steady_start,steady_end,steady_mean_variance,steady_mean_sem
WS,base,800,1000,,
WS,degprob,800,1000,,
WS,qdyn,800,1000,,
WS,both,800,1000,,
BA,base,800,1000,,
BA,degprob,800,1000,,
BA,qdyn,800,1000,,
BA,both,800,1000,,
ER,base,800,1000,,
ER,degprob,800,1000,,
ER,qdyn,800,1000,,
ER,both,800,1000,,
RR,base,800,1000,,
RR,degprob,800,1000,,
RR,qdyn,800,1000,,
RR,both,800,1000,,
Regular,base,800,1000,,
Regular,degprob,800,1000,,
Regular,qdyn,800,1000,,
Regular,both,800,1000,,
Complete,base,800,1000,,
Complete,degprob,800,1000,,
Complete,qdyn,800,1000,,
Complete,both,800,1000,,
Stars,base,800,1000,,
Stars,degprob,800,1000,,
Stars,qdyn,800,1000,,
Stars,both,800,1000,,
Cave_bottleneck,base,800,1000,,
Cave_bottleneck,degprob,800,1000,,
Cave_bottleneck,qdyn,800,1000,,
Cave_bottleneck,both,800,1000,,
Cave_random,base,800,1000,,
Cave_random,degprob,800,1000,,
Cave_random,qdyn,800,1000,,
Cave_random,both,800,1000,,
